DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:72:31: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:72:31: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:72:46: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:108:33: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:108:33: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:108:43: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:131: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:131: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:143: unexpected token 'BarBarToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:170: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:139:210: unexpected token 'TemplateMiddle', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:168:52: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:168:52: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportGraphviz.ts:168:63: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:10:14: unexpected token 'GreaterThanToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:10:14: unexpected token 'GreaterThanToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:45: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:45: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:54: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:73: unexpected token 'TemplateMiddle', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:101: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:101: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:110: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:140: unexpected token 'TemplateMiddle', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:159: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:159: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:171: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:22:211: unexpected token 'TemplateTail', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:24:66: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:24:66: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:24:78: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:24:115: unexpected token 'TemplateTail', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:27:71: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:27:71: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:27:83: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/reportProjects.ts:27:120: unexpected token 'TemplateTail', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:24:38: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:24:38: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:24:48: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:40:53: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:40:53: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:40:62: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:42:46: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:42:46: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:42:56: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:59:47: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:59:47: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:59:64: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:71:76: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:71:76: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:71:88: unexpected token 'AmpersandAmpersandToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:71:100: unexpected token 'AmpersandAmpersandToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:71:100: unexpected token 'AmpersandAmpersandToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:76:31: unexpected token 'ExclamationEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:76:31: unexpected token 'ExclamationEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:76:44: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:92:42: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:92:42: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:96:36: unexpected token 'AmpersandAmpersandToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/imp/transform.ts:96:36: unexpected token 'AmpersandAmpersandToken', expected: null
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/move/httpsCall.ts:54:45: unexpected token 'PlusEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/exe-pareto-validate-workspace/pub/src/move/httpsCall.ts:54:45: unexpected token 'PlusEqualsToken', expected: null
DEBUG path error: unexpected directory src/move
DEBUG path error: unexpected directory src/move
DEBUG path error: unexpected directory src/move
DEBUG path error: unexpected directory src/move
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:23:81: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:23:81: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:23:90: unexpected token 'QuestionToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:23:123: unexpected token 'TemplateTail', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:135:52: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:135:52: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/analysePath.ts:135:62: unexpected token 'Block', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/index.ts:2:8: unexpected token 'NamedExports', expected: StringLiteral
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/imp/index.ts:2:29: unexpected token 'StringLiteral', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/pub/src/interface/types/FileSystemStructure.ts:9:25: unexpected token 'IndexSignature', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:54:39: unexpected token 'EqualsEqualsEqualsToken', expected: EqualsToken
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:54:39: unexpected token 'EqualsEqualsEqualsToken', expected: null
DEBUG /home/corno/workspace/pareto/lib-analyse-path/test/src/bin/index.ts:54:49: unexpected token 'Block', expected: null
